"","PAC","STG","IFG"
"PAC",0.248797942552298,0.00474688968803822,-0.0273957210899663
"STG",0.00474688968803817,0.343275610328122,-0.0101389325253695
"IFG",-0.0273957210899663,-0.0101389325253695,0.214065671013645
